row_id,theme,sentiment_word,sentiment_anls
1,黑人;,好;,1;
2,,,
3,质量;感觉;,好;小;,1;-1;
4,发货;,光滑;,1;
5,G;,坏;,-1;
6,中学;,好;,1;
7,产品;盒子;样子;,直接;久;差;,1;0;-1;
8,色;,旧;,-1;
9,老公;静音;,不错;充满;,1;1;
10,亚马逊;,不错;,1;
11,,,
12,,,
13,,,
14,产品;,软;,-1;
15,,,
16,袜子;,不错;,1;
17,建议;,合适;,1;
18,,,
19,rt;,麻烦;,-1;
20,,,
21,,,
22,商场;,挺好;,1;
23,货;口罩;,轻易;明确;,-1;1;
24,线路;天;困难;,平均;稳定;困难;,1;1;-1;
25,,,
26,速度;,大;,-1;
27,,,
28,,,
29,,,
30,iFrogz;,不错;,1;
31,性价比;速度;,高;不错;,1;1;
32,,,
33,狮王;,不错;,1;
34,苏菲;,硬;,-1;
35,路由器;信号;问题;,好;大;慢;,1;-1;-1;
36,想象;,好;,1;
37,音质;色彩;,不错;好;,1;1;
38,香味;,差;,-1;
39,,,
40,想象;,好;,1;
41,女宝;粉红色;红色;,合适;甜美;小;,1;1;-1;
42,,,
43,液体;,根本;,1;
44,,,
45,狗;货;,好;成功;,1;1;
46,,,
47,,,
48,味道;恶心;,根本;直接;,1;1;
49,,,
50,太;,好;,1;
51,,,
52,光;,柔和;,1;
53,,,
54,价格;换;,细;坏;,-1;-1;
55,东西;,完整;,1;
56,恩;书;,不错;好;,1;1;
57,,,
58,,,
59,梳子;,很好;,1;
60,想象;,小;,-1;
61,故事情节;,简单;,-1;
62,,,
63,,,
64,,,
65,商品;,明显;,1;
66,ml;,小;,-1;
67,舌音;,白;,-1;
68,,,
69,书页;,明显;,1;
70,,,
71,价钱;,好;,1;
72,,,
73,,,
74,材质;,硬;,-1;
75,,,
76,价格;物流;皮肤;,完全;一般;好;,1;0;1;
77,价格;痕迹;,便宜;直接;,1;1;
78,小时;,全;,1;
79,内容;,简单;,-1;
80,东西;,不错;,1;
81,东西;有点;,不错;麻烦;,1;-1;
82,,,
83,震动;效果;,厉害;舒服;,-1;1;
84,狗;潮;口子;,很软;很大;容易;,1;1;1;
85,价格;,嚣张;,-1;
86,质地;,很好;,1;
87,电能;,很;,1;
88,卓越;运气;发货;,快;老;健康;,1;-1;1;
89,亚马逊;,尴尬;,-1;
90,,,
91,处;,不错;,1;
92,牙齿;洁牙;味道;,重要;好;不错;,1;1;1;
93,旧;价格;服务;下单;,合适;不贵;好;新;,1;1;1;1;
94,,,
95,衣服;M;太紧;有点;,长;小;好;大;,1;-1;1;-1;
96,有点;,不错;,1;
97,毛;,强;,-1;
98,子机;噪音;,最高;大;,1;-1;
99,狗狗;,香;,1;
100,狗狗;关键;,便宜;方便;,1;1;
101,内容;间距;,很大;宽;,1;1;
102,价钱;,不贵;,1;
103,老妈;头发;头皮;家乐福;,假;臭;很痒;不;,-1;-1;-1;1;
104,,,
105,想象;,不;,1;
106,,,
107,评价;气;弹性;,很大;久;有限;,1;0;-1;
108,圆枕;,不错;,1;
109,五星;天猫;块钱;,不错;便宜;慢;,1;1;-1;
110,活动;霉斑;朋友;皮肤;,长;大;最好;不利;,1;-1;1;-1;
111,,,
112,,,
113,商品;日本;,好;郁闷;,1;-1;
114,手;,贵;,-1;
115,塑料;,好;,1;
116,盐;,好;,1;
117,玩意;老人;,瘦;舒服;,-1;1;
118,,,
119,棉漏;黑水;,全;坏;,1;-1;
120,孕猫;,不错;,1;
121,相框;,好;,1;
122,,,
123,纱布;生育;,不错;红;,1;1;
